"";"date";"gesamt"
"650";2011-09-17;508
"651";2011-09-18;59
"652";2011-09-19;265
"653";2011-09-20;490
"654";2011-09-21;779
"655";2011-09-22;784
"656";2011-09-23;763
"657";2011-09-24;502
"658";2011-09-25;731
"659";2011-09-26;867
"660";2011-09-27;898
"661";2011-09-28;897
"662";2011-09-29;878
"663";2011-09-30;815
"664";2011-10-01;522
"665";2011-10-02;610
"666";2011-10-03;678
"667";2011-10-04;816
"668";2011-10-05;773
"669";2011-10-06;738
"670";2011-10-07;288
"671";2011-10-08;92
"672";2011-10-09;264
"673";2011-10-10;280
"674";2011-10-11;669
"675";2011-10-12;560
"676";2011-10-13;361
"677";2011-10-14;594
"678";2011-10-15;380
"679";2011-10-16;407
"680";2011-10-17;518
"681";2011-10-18;722
"682";2011-10-19;514
"683";2011-10-20;485
"684";2011-10-21;468
"685";2011-10-22;269
"686";2011-10-23;288
"687";2011-10-24;584
"688";2011-10-25;606
"689";2011-10-26;446
"690";2011-10-27;528
"691";2011-10-28;585
"692";2011-10-29;348
"693";2011-10-30;364
"694";2011-10-31;409
"695";2011-11-01;340
"696";2011-11-02;563
"697";2011-11-03;558
"698";2011-11-04;496
"699";2011-11-05;403
"700";2011-11-06;370
"701";2011-11-07;535
"702";2011-11-08;639
"703";2011-11-09;597
"704";2011-11-10;506
"705";2011-11-11;448
"706";2011-11-12;254
"707";2011-11-13;210
"708";2011-11-14;457
"709";2011-11-15;459
"710";2011-11-16;441
"711";2011-11-17;477
"712";2011-11-18;444
"713";2011-11-19;326
"714";2011-11-20;239
"715";2011-11-21;488
"716";2011-11-22;412
"717";2011-11-23;474
"718";2011-11-24;436
"719";2011-11-25;352
"720";2011-11-26;132
"721";2011-11-27;271
"722";2011-11-28;515
"723";2011-11-29;538
"724";2011-11-30;516
"725";2011-12-01;517
"726";2011-12-02;501
"727";2011-12-03;228
"728";2011-12-04;156
"729";2011-12-05;269
"730";2011-12-06;287
"731";2011-12-07;242
"732";2011-12-08;348
"733";2011-12-09;326
"734";2011-12-10;78
"735";2011-12-11;102
"736";2011-12-12;281
"737";2011-12-13;312
"738";2011-12-14;383
"739";2011-12-15;317
"740";2011-12-16;190
"741";2011-12-17;147
"742";2011-12-18;45
"743";2011-12-19;102
"744";2011-12-20;74
"745";2011-12-21;134
"746";2011-12-22;141
"747";2011-12-23;158
"748";2011-12-24;57
"749";2011-12-25;44
"750";2011-12-26;104
"751";2011-12-27;169
"752";2011-12-28;170
"753";2011-12-29;140
"754";2011-12-30;85
"755";2011-12-31;29
"756";2012-01-01;52
"757";2012-01-02;222
"758";2012-01-03;255
"759";2012-01-04;138
"760";2012-01-05;85
"761";2012-01-06;46
"762";2012-01-07;64
"763";2012-01-08;33
"764";2012-01-09;248
"765";2012-01-10;285
"766";2012-01-11;318
"767";2012-01-12;300
"768";2012-01-13;187
"769";2012-01-14;60
"770";2012-01-15;70
"771";2012-01-16;119
"772";2012-01-17;137
"773";2012-01-18;199
"774";2012-01-19;189
"775";2012-01-20;113
"776";2012-01-21;28
"777";2012-01-22;62
"778";2012-01-23;239
"779";2012-01-24;119
"780";2012-01-25;93
"781";2012-01-26;138
"782";2012-01-27;157
"783";2012-01-28;30
"784";2012-01-29;23
"785";2012-01-30;123
"786";2012-01-31;97
"787";2012-02-01;61
"788";2012-02-02;47
"789";2012-02-03;21
"790";2012-02-04;12
"791";2012-02-05;5
"792";2012-02-06;17
"793";2012-02-07;7
"794";2012-02-08;6
"795";2012-02-09;4
"796";2012-02-10;7
