"";"date";"gesamt"
"522";2012-12-10;542
"523";2012-12-11;119
"524";2012-12-12;49
"525";2012-12-13;132
"526";2012-12-14;412
"527";2012-12-15;393
"528";2012-12-16;485
"529";2012-12-17;1271
"530";2012-12-18;1592
"531";2012-12-19;1623
"532";2012-12-20;1567
"533";2012-12-21;878
"534";2012-12-22;874
"535";2012-12-23;401
"536";2012-12-24;915
"537";2012-12-25;485
"538";2012-12-26;377
"539";2012-12-27;628
"540";2012-12-28;562
"541";2012-12-29;938
"542";2012-12-30;592
"543";2012-12-31;904
"544";2013-01-01;476
"545";2013-01-02;1102
"546";2013-01-03;855
"547";2013-01-04;795
"548";2013-01-05;335
"549";2013-01-06;419
"550";2013-01-07;1634
"551";2013-01-08;2008
"552";2013-01-09;1998
"553";2013-01-10;1517
"554";2013-01-11;1316
"555";2013-01-12;522
"556";2013-01-13;359
"557";2013-01-14;1135
"558";2013-01-15;1188
"559";2013-01-16;772
"560";2013-01-17;0
"561";2013-01-18;0
"562";2013-01-19;0
"563";2013-01-20;0
"564";2013-01-21;0
"565";2013-01-22;0
"566";2013-01-23;0
"567";2013-01-24;0
"568";2013-01-25;0
"569";2013-01-26;0
"570";2013-01-27;0
"571";2013-01-28;0
"572";2013-01-29;0
"573";2013-01-30;1414
"574";2013-01-31;1566
"575";2013-02-01;809
"576";2013-02-02;539
"577";2013-02-03;390
"578";2013-02-04;718
"579";2013-02-05;1092
"580";2013-02-06;980
"581";2013-02-07;747
"582";2013-02-08;751
"583";2013-02-09;164
"584";2013-02-10;72
"585";2013-02-11;0
"586";2013-02-12;0
"587";2013-02-13;0
"588";2013-02-14;0
"589";2013-02-15;0
"590";2013-02-16;282
"591";2013-02-17;273
"592";2013-02-18;891
"593";2013-02-19;873
"594";2013-02-20;435
"595";2013-02-21;480
"596";2013-02-22;398
"597";2013-02-23;184
"598";2013-02-24;129
"599";2013-02-25;572
"600";2013-02-26;294
"601";2013-02-27;672
"602";2013-02-28;738
"603";2013-03-01;271
"604";2013-03-02;166
"605";2013-03-03;254
"606";2013-03-04;533
"607";2013-03-05;693
"608";2013-03-06;777
"609";2013-03-07;763
"610";2013-03-08;795
"611";2013-03-09;396
"612";2013-03-10;347
"613";2013-03-11;556
"614";2013-03-12;542
"615";2013-03-13;438
"616";2013-03-14;418
"617";2013-03-15;358
"618";2013-03-16;378
"619";2013-03-17;420
"620";2013-03-18;396
"621";2013-03-19;559
"622";2013-03-20;650
"623";2013-03-21;493
"624";2013-03-22;687
"625";2013-03-23;288
"626";2013-03-24;269
"627";2013-03-25;294
"628";2013-03-26;114
"629";2013-03-27;143
"630";2013-03-28;252
"631";2013-03-29;167
"632";2013-03-30;152
"633";2013-03-31;35
"634";2013-04-08;1571
"635";2013-04-09;2228
"636";2013-04-10;2065
"637";2013-04-11;1654
"638";2013-04-12;2165
"639";2013-04-13;2177
"640";2013-04-14;2469
"641";2013-04-15;3927
"642";2013-04-16;3258
"643";2013-04-17;3908
"644";2013-04-18;4096
"645";2013-04-19;2039
"646";2013-04-20;1118
"647";2013-04-21;1450
"648";2013-04-22;2917
"649";2013-04-23;3701
"650";2013-04-24;4517
"651";2013-04-25;4641
"652";2013-04-26;4118
"653";2013-04-27;2243
"654";2013-04-28;1574
"655";2013-04-29;3103
"656";2013-04-30;3523
"657";2013-05-01;3241
"658";2013-05-02;2585
"659";2013-05-03;3080
"660";2013-05-04;2624
"661";2013-05-05;2934
"662";2013-05-06;3730
"663";2013-05-07;3343
"664";2013-05-08;4560
"665";2013-05-09;2785
"666";2013-05-10;972
"667";2013-05-11;1008
"668";2013-05-12;999
"669";2013-05-13;2594
"670";2013-05-14;4152
"671";2013-05-15;4806
"672";2013-05-16;4047
"673";2013-05-17;2722
"674";2013-05-18;2893
"675";2013-05-19;1315
"676";2013-05-20;1604
"677";2013-05-21;2723
"678";2013-05-22;1847
"679";2013-05-23;2419
"680";2013-05-24;1617
"681";2013-05-25;1334
"682";2013-05-26;464
"683";2013-05-27;1479
"684";2013-05-28;3704
"685";2013-05-29;1239
"686";2013-05-30;730
"687";2013-05-31;583
"688";2013-06-01;684
"689";2013-06-02;198
"690";2013-06-03;1666
"691";2013-06-04;3113
"692";2013-06-05;4533
"693";2013-06-06;4824
"694";2013-06-07;4452
"695";2013-06-08;4217
"696";2013-06-09;2383
"697";2013-06-10;2337
